GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000103214	4.27370406818208	-0.026550436876333	0.0482757854918927	-0.573627548473701	0.56621986562541	NA
ENSMUSG00000104100	6.15130219576251	-0.0483109683047538	0.0581467083084702	-0.870467156692096	0.38404516016022	NA
ENSMUSG00000103889	6.40069739743876	-0.0423452789445998	0.0594990960883955	-0.738656186609595	0.460115796806844	NA
ENSMUSG00000104221	4.52354272755537	0.00233761296136494	0.0444117782790215	0.0524725958560826	0.958152130582965	NA
ENSMUSG00000103563	6.87888909189673	-0.0621733996519048	0.0587483157137665	-1.12549350076596	0.260379969748611	NA
ENSMUSG00000102659	7.46359931727748	0.0179801316711321	0.0612889751903581	0.291277782589839	0.770838878045597	NA
ENSMUSG00000103924	4.07113708933054	0.0237262153408739	0.0482859521904259	0.479745633720636	0.631408275045676	NA
ENSMUSG00000104132	3.92304373813477	-0.0623714141917106	0.0488514310136691	-1.41070614657088	0.158331277845566	NA
ENSMUSG00000102747	7.03068417419102	0.0274543613373668	0.0618297225462031	0.43872273277486	0.66086245309908	NA
ENSMUSG00000120041	8.03663536850543	0.00503743673643367	0.0655897604366572	0.0767821740027126	0.938796831953986	NA
ENSMUSG00000099561	2.18129042271719	-0.015298093559167	0.0359447400045027	-0.445061411181432	0.656275374769037	NA
ENSMUSG00000140638	3.45835770596077	-0.0110696853931895	0.0457678129589081	-0.244531032695588	0.806819570697133	NA
ENSMUSG00000140722	4.97537483038367	-0.03549409317	0.0539970234881314	-0.682001496423146	0.495238004638354	NA
ENSMUSG00000101400	2.84512513050762	-0.0463349119596501	0.0415779278341094	-1.24858401836504	0.211817260697117	NA
ENSMUSG00000103696	2.34394240242483	0.00458630813765833	0.0367915305552082	0.123309267303488	0.901862202593156	NA
ENSMUSG00000100347	6.54079883680756	0.00248365552002348	0.0598724467057489	0.0414167576311815	0.966963653601552	NA
ENSMUSG00000121039	2.95425961195653	0.00326862301936938	0.0414562299454973	0.0784612180705632	0.937461178579807	NA
ENSMUSG00000136409	4.07553352862232	0.0141560290740049	0.049246927238711	0.285083025520286	0.775580534363873	NA
ENSMUSG00000101784	5.18362489738805	0.00652369514839483	0.0472136497149969	0.137047758968424	0.890993045025828	NA
ENSMUSG00000100432	9.43989540663237	-0.0377326663032945	0.0659266347744618	-0.584227813077803	0.559067051463821	NA
ENSMUSG00000135426	5.76289778094171	-0.0680555517626798	0.0577045999916706	-1.26283425893552	0.206648749920899	NA
ENSMUSG00000079140	5.36897474847074	-0.0430304391008812	0.0494288127375301	-0.9407360876092	0.346840120622119	NA
ENSMUSG00000084353	1.87679906360594	0.0032292157611623	0.0329322870641264	0.0965602290086925	0.923075641503868	NA
ENSMUSG00000124163	5.70426626569296	0.0285639221857343	0.0517845301731278	0.542165792273722	0.587704298339183	NA
ENSMUSG00000070489	1.94890628900453	-0.0225456911267131	0.0340780139544877	-0.718373701735291	0.472526897524806	NA
ENSMUSG00000123567	2.63548299535953	-0.0287238788920277	0.0406339224818453	-0.754122013709446	0.450775960037604	NA
ENSMUSG00000142003	7.00514873147681	-0.0450455553360869	0.0606793870093699	-0.768203838092673	0.442366093645691	NA
ENSMUSG00000086053	4.56587692528235	0.0245999213647662	0.051214302145454	0.471514977833004	0.637273026336871	NA
ENSMUSG00000119941	10.2139623262664	0.0255853591595898	0.0729109940969863	0.34853195667975	0.727440718515805	NA
ENSMUSG00000130706	3.47490584745462	0.016771227035579	0.0453606671108916	0.365484604143439	0.71474969724364	NA
ENSMUSG00000097564	4.01550063736765	0.00179376736279121	0.0487364863077441	0.0367875350301842	0.970654412927015	NA
